"sku","part_type","attribute_set","type","visibility","status","name","description","manufacturer","part_number","part_number_short","categories","ti_part_sku","interchanges","bill_of_materials","price","quantity","turbo_model","turbo_type","image","media_gallery","kit_type","gasket_type","seal_type","cool_type","turbo_model_name","finder:1","bearing_type","bore_oe","compressor_housing_diameter","compressor_wheel_diameter","design_features","exduce_oa","exducer_oc","hub_length_d","i_gap_max","i_gap_min","inducer_diameter","inducer_oa","inducer_oc","inside_diameter","inside_diameter_max","inside_diameter_min","journal_od","number_of_blades","oil","oil_inlet","oil_outlet","outlet_flange_holes","outside_diameter_max","outside_diameter_min","outside_dim_max","outside_dim_min","overall_diameter","overall_height","oversize_id","piston_ring_diameter","secondary_diameter","shaft_thread_f","standard_size_id","stem_oe","style_compressor_wheel","tip_height_b","water_ports","width_max","width_min","customerprice","group_price:ERP_PL_0","group_price:ERP_PL_1","group_price:ERP_PL_2","group_price:ERP_PL_3","group_price:ERP_PL_4","group_price:ERP_PL_5","group_price:ERP_PL_E","group_price:ERP_PL_R","group_price:ERP_PL_W","tier_price:ERP_PL_0","tier_price:ERP_PL_1","tier_price:ERP_PL_2","tier_price:ERP_PL_3","tier_price:ERP_PL_4","tier_price:ERP_PL_5","tier_price:ERP_PL_E","tier_price:ERP_PL_R","tier_price:ERP_PL_W","application"
"2438","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","63451","63451","Manufacturer/Holset;;Part Type/cartridge","","","","","","3FJ530V/1.79","3FJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2439","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49132-09530","4913209530","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","TDO9-36QRC,TDO9-QRC/25","TDO9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2440","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Mitsubishi","49163-09600","4916309600","Manufacturer/Mitsubishi;;Part Type/cartridge","","","","","","4LF","4LF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2441","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409853-0063","4098530063","Manufacturer/Garrett;;Part Type/cartridge","6233","6233","[{""sku"":42856,""quantity"":1,""ti_part_sku"":[43731]},{""sku"":43879,""quantity"":1,""ti_part_sku"":[44637]},{""sku"":45142,""quantity"":1,""ti_part_sku"":[45309]},{""sku"":43886,""quantity"":1,""ti_part_sku"":[44637]},{""sku"":44731,""quantity"":1,""ti_part_sku"":[45049]},{""sku"":42148,""quantity"":1,""ti_part_sku"":[42755]},{""sku"":44732,""quantity"":1,""ti_part_sku"":[45049]}]","","","TB0368","T3","","","","","","","","Volvo,1987,240|Volvo,1987,245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Volvo,1987,240|Volvo,1987,245"
"2442","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","409853-0079","4098530079","Manufacturer/Garrett;;Part Type/cartridge","6242","6242","[{""sku"":43880,""quantity"":1,""ti_part_sku"":[44651]},{""sku"":44732,""quantity"":1,""ti_part_sku"":[45049]},{""sku"":44731,""quantity"":1,""ti_part_sku"":[45049]},{""sku"":45142,""quantity"":1,""ti_part_sku"":[45309]},{""sku"":42861,""quantity"":1,""ti_part_sku"":[43730]},{""sku"":42148,""quantity"":1,""ti_part_sku"":[42755]}]","","","TB0384,TBO389","T3,TBO3","","","","","","","","FORD,1989,SIERRA COSWORTH|FORD,1990,SIERRA COSWORTH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FORD,1989,SIERRA COSWORTH|FORD,1990,SIERRA COSWORTH"
"2443","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","433289-0090","4332890090","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":42922,""quantity"":1,""ti_part_sku"":[43776]},{""sku"":44770,""quantity"":1,""ti_part_sku"":[45068]},{""sku"":45145,""quantity"":1,""ti_part_sku"":[45316]}]","","","GT1749S","GT17","","","","","","","","Ssangyong,1999,KORANDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ssangyong,1999,KORANDO"
"2444","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","433289-0426","4332890426","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT2560S","GT25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2445","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","451686-0020","4516860020","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT4702,GT4702BS","GT47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2446","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","446179-0038","4461790038","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TB2808R","TB28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2447","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","I.H.I.","VAX40021","VAX40021","Manufacturer/I.H.I.;;Part Type/cartridge","","","","","","RHF4H-64006P12NHBRL362CCZ","RHF4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
