id	part	cd_a_length_across_thrust_bearing	cd_a_length_across_thrust_bearing_tol	cd_b_oal	cd_b_oal_tol	cd_c_te_thrust_dia	cd_c_te_thrust_dia_tol	cd_d_ce_thrust_dia	cd_d_ce_thrust_dia_tol	cd_e_bore_dia	cd_e_bore_dia_tol	cd_f_piston_ring_groove_1_major_dia	cd_f_piston_ring_groove_1_major_dia_tol	cd_g_piston_ring_groove_1_minor_dia	cd_g_piston_ring_groove_1_minor_dia_tol	cd_h_piston_ring_groove_1_width	cd_h_piston_ring_groove_1_width_tol	cd_k_piston_ring_groove_2_major_dia	cd_k_piston_ring_groove_2_major_dia_tol	cd_l_piston_ring_groove_2_minor_dia	cd_l_piston_ring_groove_2_minor_dia_tol	cd_m_piston_ring_groove_2_width	cd_m_piston_ring_groove_2_width_tol	cd_i_ce_flinger_dia	cd_j_te_flinger_dia	cd_num_flinger_holes_ce_row	cd_dia_flinger_holes_ce_row	cd_num_flinger_holes_te_row	cd_dia_flinger_holes_te_row	cd_material	cd_weight	cd_diagram_
63	8-C-5698	0.1420	0.0005	0.2660	0.0050	0.593	0.005	0.593	0.005	0.2367	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
64	8-C-6210	0.2140	0.0005	0.6180	0.0050	-99.000	0.005	0.799	0.005	0.2762	0.0005	0.610	0.003	0.485	0.005	0.065	0.001	0.610	0.003	0.485	0.005	0.065	0.001	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	7
65	8-D-1524	0.1570	0.0005	0.5390	0.0050	-99.000	0.005	0.766	0.005	0.2769	0.0005	0.525	0.003	0.430	0.005	0.057	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
66	8-D-2285	0.1180	0.0005	0.4730	0.0050	-99.000	0.005	0.476	0.005	0.1820	0.0005	0.370	0.003	0.305	0.005	0.057	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
67	8-D-2289	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
68	8-D-2533	0.1180	0.0005	0.1180	0.0050	-99.000	0.005	-99.000	0.005	0.2130	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	4
69	8-D-3118	0.1180	0.0005	0.4730	0.0050	-99.000	0.005	0.476	0.005	0.1740	0.0005	0.370	0.003	0.305	0.005	0.057	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
70	8-D-3396	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
71	8-D-3411	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72	8-D-3549	0.1190	0.0005	0.4970	0.0050	-99.000	0.005	0.517	0.005	0.1620	0.0005	0.371	0.003	0.305	0.005	0.057	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
