id	part	cd_dia_a	cd_dia_a_tol	cd_dia_b	cd_dia_b_tol	cd_dia_c	cd_dia_c_tol	cd_dia_d	cd_dia_d_tol	cd_bore_dia_e	cd_bore_dia_e_tol	cd_bore_height_f	cd_bore_height_f_tol	cd_oal_g	cd_oal_g_tol	cd_gauge	cd_matl	cd_special_features	cd_rolled_lip	cd_weight	cd_diagram_	cd_thickness
66	6-D-5775	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
67	6-D-5799	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
68	6-D-5800	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
69	6-D-5801	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
70	6-D-5883	1.923	0.005	-99.000	0.005	-99.000	0.005	-99.000	-99.000	0.650	0.005	0.044	0.005	0.072	0.005	23	19830	NULL	0	9.8	1	0.028
71	6-E-0842	2.118	0.005	-99.000	-99.000	1.871	0.005	-99.000	-99.000	0.962	0.005	0.258	0.005	0.313	0.005	21	19830	NULL	0	NULL	1	0.034
72	6-E-1104	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
73	6-E-4094	2.268	0.005	2.000	0.005	1.932	0.005	-99.000	0.005	0.803	0.005	0.442	0.005	0.507	0.005	19	19830	NULL	0	24.6	1	0.034
74	6-E-4096	2.120	0.005	1.707	0.005	1.631	0.005	-99.000	0.005	0.965	0.005	0.384	0.005	0.436	0.005	20	19830	NULL	0	NULL	1	0.038
75	6-E-4177	2.115	0.005	1.865	0.005	1.770	0.005	-99.000	0.005	0.830	0.005	0.144	0.005	0.210	0.005	19	19830	NULL	1	19.4	1	0.044
