id	part	cd_max_thickness_a	cd_min_thickness_a	cd_od_b	cd_od_b_tol	cd_id_c	cd_id_c_tol	cd_num_ramps_te	cd_num_ramps_ce	cd_degrees_of_ramps	cd_te_ramp_dia_d	cd_te_ramp_dia_d_tol	cd_ce_ramp_dia_e	cd_ce_ramp_dia_e_tol	cd_te_ramp_drain_dia_f	cd_te_ramp_drain_dia_f_tol	cd_ce_ramp_drain_dia_g	cd_ce_ramp_drain_dia_g_tol	cd_material	cd_weight	cd_num_locating_holes	cd_dia_locating_holes	cd_rotation	cd_diagram_
11	8-A-1899	0.1730	0.1720	1.680	0.005	0.424	0.005	6	6	360	0.786	0.005	0.786	0.005	1.010	0.005	1.010	0.005	20393	NULL	3	0.171	20336	NULL
12	8-A-2054	0.1720	0.1710	1.975	0.005	0.590	0.005	4	4	270	0.882	0.005	0.882	0.005	0.992	0.005	0.992	0.005	20393	NULL	0	-99.000	20336	NULL
13	8-A-2054C	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
14	8-A-2070	0.1720	0.1710	1.965	0.005	0.592	0.005	6	6	360	0.975	0.005	0.975	0.005	1.025	0.005	1.025	0.005	20393	NULL	0	-99.000	20336	NULL
15	8-A-2124	0.1725	0.1715	2.111	0.005	0.638	0.005	3	3	270	1.110	0.005	1.275	0.005	1.260	0.005	1.378	0.005	20394	NULL	3	0.180	20336	NULL
16	8-A-2128	0.1740	0.1730	1.561	0.005	0.485	0.005	6	6	360	0.796	0.005	0.796	0.005	1.010	0.005	1.010	0.005	20390	NULL	3	0.171	20336	NULL
17	8-A-2195	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
18	8-A-2353	0.1430	0.1420	1.490	0.005	0.790	0.005	6	0	360	1.400	0.005	1.400	0.005	-99.000	0.005	-99.000	0.005	20393	NULL	3	0.090	20336	NULL
19	8-A-2466	0.1720	0.1710	1.770	0.005	0.532	0.005	6	6	360	0.808	0.005	0.808	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	0	-99.000	20336	NULL
20	8-A-2479	0.1720	0.1710	1.770	0.005	0.520	0.005	4	4	360	0.778	0.005	0.778	0.005	0.860	0.005	0.860	0.005	20393	NULL	0	-99.000	20336	NULL
21	8-A-2504	0.2505	0.2495	2.584	0.005	0.879	0.005	3	3	270	1.500	0.005	1.515	0.005	1.646	0.005	1.612	0.005	20395	NULL	3	0.220	20336	NULL
22	8-A-2527	0.1730	0.1720	1.668	0.005	0.453	0.005	4	4	270	0.748	0.005	0.748	0.005	0.906	0.005	0.906	0.005	20393	NULL	0	-99.000	20337	NULL
23	8-A-3015	0.1180	0.1170	1.724	0.005	0.339	0.005	10	10	360	0.551	0.005	0.551	0.005	0.661	0.005	0.661	0.005	20386	NULL	4	0.222	20336	NULL
24	8-A-3510	0.1180	0.1170	1.724	0.005	0.339	0.005	6	6	360	0.465	0.005	0.465	0.005	0.556	0.005	0.556	0.005	20390	NULL	4	0.219	20336	NULL
25	8-A-3942	0.1180	0.1170	1.724	0.005	0.339	0.005	6	6	360	0.560	0.005	0.560	0.005	0.654	0.005	0.654	0.005	20390	NULL	4	0.219	20336	NULL
26	8-A-4516	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
27	8-A-4930	0.1180	0.1170	1.724	0.005	0.339	0.005	6	6	360	0.570	0.005	0.570	0.005	-99.000	0.005	-99.000	0.005	20387	NULL	4	0.222	20336	NULL
28	8-A-5682	0.1180	0.1170	2.140	0.005	0.528	0.005	3	3	270	0.942	0.005	0.942	0.005	1.040	0.005	1.040	0.005	20395	NULL	3	0.185	20336	NULL
29	8-A-6163	0.1190	0.1180	1.472	0.005	0.382	0.005	3	3	270	0.582	0.005	0.582	0.005	0.708	0.005	0.708	0.005	20390	NULL	3	0.177	20336	NULL
30	8-A-6235	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
31	8-B-0088	0.2120	0.2110	2.748	0.005	0.680	0.005	4	4	360	1.060	0.005	1.060	0.005	1.560	0.005	1.560	0.005	20384	NULL	2	0.222	20337	NULL
32	8-B-0109	0.1380	0.1370	-99.000	0.005	0.535	0.005	6	6	360	0.850	0.005	0.850	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	3	0.209	20336	NULL
33	8-B-0117	0.1380	0.1370	-99.000	0.005	0.450	0.005	5	5	360	0.700	0.005	0.700	0.005	1.580	0.005	1.580	0.005	20384	NULL	3	0.209	20336	NULL
34	8-B-0731	0.1050	0.1040	2.747	0.005	0.516	0.005	4	0	360	0.933	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	20391	NULL	2	0.208	20335	NULL
35	8-B-1184	0.1380	0.1370	2.674	0.005	0.540	0.005	6	6	360	0.945	0.005	0.945	0.005	1.047	0.005	1.047	0.005	20390	NULL	2	0.148	20336	NULL
36	8-B-2425	0.2120	0.2110	2.556	0.005	0.688	0.005	5	5	360	1.320	0.005	1.320	0.005	1.975	0.005	1.625	0.005	20390	NULL	2	0.136	20336	NULL
37	8-B-2838	0.2120	0.2110	2.556	0.005	0.688	0.005	5	5	360	1.320	0.005	1.320	0.005	1.976	0.005	1.625	0.005	20390	NULL	2	0.136	20337	NULL
38	8-B-2864	0.2110	0.2100	2.745	0.005	0.696	0.005	6	6	360	1.340	0.005	1.340	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	3	0.221	20336	NULL
39	8-B-2868	0.1380	0.1370	1.869	0.005	0.422	0.005	4	4	360	0.735	0.005	0.670	0.005	0.850	0.005	0.788	0.005	20390	NULL	2	0.150	20336	NULL
40	8-B-3445	0.2110	0.2100	2.745	0.005	0.696	0.005	6	6	360	1.340	0.005	1.340	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	2	0.221	20336	NULL
41	8-B-3514	0.1390	0.1380	1.872	0.005	0.422	0.005	5	5	360	0.840	0.005	0.840	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	3	0.149	20336	NULL
42	8-B-3790	0.1380	0.1370	2.180	0.005	0.540	0.005	6	6	360	0.945	0.005	0.945	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	2	0.148	20336	NULL
43	8-B-4051	0.1970	0.1960	2.180	0.005	0.540	0.005	5	5	360	1.260	0.005	1.260	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	2	0.147	20336	NULL
44	8-B-5293	0.1390	0.1380	1.872	0.005	0.422	0.005	5	5	360	0.840	0.005	0.840	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	1	0.149	20336	NULL
45	8-C-0067	0.1080	0.1070	2.743	0.005	0.517	0.005	4	0	360	1.030	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	20385	NULL	2	0.209	20335	NULL
46	8-C-0835	0.4220	0.4210	2.496	0.005	0.750	0.005	6	6	360	1.109	0.005	1.109	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	3	0.214	20336	NULL
47	8-C-1254	0.1730	0.1720	2.122	0.005	0.433	0.005	6	6	360	0.590	0.005	0.590	0.005	0.772	0.005	0.772	0.005	20390	NULL	1	0.125	20336	NULL
48	8-C-1727	0.2120	0.2110	2.740	0.005	0.572	0.005	3	3	360	0.880	0.005	0.880	0.005	1.402	0.005	1.402	0.005	20395	NULL	1	0.212	20336	NULL
49	8-C-3481	0.2120	0.2110	2.120	0.005	0.489	0.005	3	3	270	0.787	0.005	0.787	0.005	0.955	0.005	0.955	0.005	20390	NULL	1	0.125	20336	NULL
