id	part	cd_dia_a	cd_dia_a_tol	cd_dia_b	cd_dia_b_tol	cd_dia_c	cd_dia_c_tol	cd_dia_d	cd_dia_d_tol	cd_oring_groove_dia	cd_oring_groove_dia_tol	cd_oring_groove_width	cd_oring_groove_width_tol	cd_bore_dia	cd_bore_dia_tol	cd_dynamic_carbon_seal	cd_matl	cd_oal_e	cd_oal_e_tol	cd_hub_pos_f	cd_hub_pos_f_tol	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len	cd_superback_flatbackspecial	cd_weight	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd__mounting_holes	cd_mounting_hole_dia	cd_diagram_	cd_cwc_dia	cd_cwc_dia_tol	cd_clamped_width_g	cd_clamped_width_g_tol
23	5-E-2828	1.966	0.002	-99.000	0.005	0.654	0.002	1.418	0.005	-99.000	-99.000	-99.000	-99.000	0.551	0.001	19772	19727	0.388	0.005	0.184	0.002	NULL	NULL	20369	65.9	0.5510	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.306	0.002
24	5-E-3723	1.966	0.002	-99.000	0.005	0.652	0.002	1.420	0.005	-99.000	-99.000	-99.000	-99.000	0.489	0.001	19772	19727	0.386	0.005	0.170	0.002	NULL	NULL	20368	65.6	0.4890	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.306	0.002
25	5-E-4013	1.572	0.002	-99.000	0.005	0.640	0.002	1.025	0.005	-99.000	-99.000	-99.000	-99.000	0.394	0.001	19772	19727	0.396	0.005	0.230	0.002	NULL	NULL	20368	39.1	0.3940	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.306	0.002
26	5-E-4319	1.572	0.002	-99.000	0.005	0.500	0.002	1.024	0.005	-99.000	-99.000	-99.000	-99.000	0.315	0.001	19772	19727	0.424	0.005	0.239	0.002	NULL	NULL	20369	41.5	0.3150	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.306	0.002
27	5-E-4507	1.572	0.002	-99.000	0.005	0.500	0.002	1.024	0.005	-99.000	-99.000	-99.000	-99.000	0.315	0.001	19772	19727	0.393	0.005	0.237	0.002	NULL	NULL	20368	38.8	0.3150	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.304	0.002
28	5-E-4687	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
29	5-F-1316	2.000	0.002	-99.000	-99.000	0.570	0.002	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.394	0.001	19772	19726	0.339	0.005	0.201	0.002	NULL	NULL	20369	32.7	0.3940	0.0010	-99	-99.000	NULL	-99.000	-99.000	-99.000	-99.000
30	5-F-3896	1.690	0.002	-99.000	-99.000	0.450	0.002	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.315	0.001	19772	19726	0.185	0.005	0.046	0.002	NULL	NULL	20369	NULL	0.3150	0.0010	2	0.126	NULL	-99.000	-99.000	-99.000	-99.000
31	5-F-4690	2.000	0.002	1.960	0.005	1.368	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
32	5-F-4691	NULL	0.002	NULL	0.005	NULL	0.002	NULL	0.005	NULL	0.005	NULL	0.005	NULL	0.001	NULL	NULL	0.358	0.005	NULL	0.002	NULL	NULL	NULL	NULL	NULL	0.0010	NULL	NULL	NULL	-99.000	0.005	NULL	0.002
33	5-F-5200	NULL	0.002	NULL	0.005	NULL	0.002	NULL	0.005	NULL	0.005	NULL	0.005	NULL	0.001	NULL	NULL	NULL	0.005	NULL	0.002	NULL	NULL	NULL	NULL	NULL	0.0010	NULL	NULL	NULL	NULL	0.005	NULL	0.002
