id	part	cd_water_cooled	cd_ce_dia_a	cd_ce_dia_a_tol	cd_ce_dia_b	cd_ce_dia_b_tol	cd_ce_dia_c	cd_ce_dia_c_tol	cd_cwc_dia	cd_cwc_dia_tol	cd_bore_dia_max	cd_bore_dia_min	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd_single_dual_oil_feed	cd_spinning_bearing	cd_oil_inlet_thread	cd_oil_drain_thread	cd_oil_drain_flange_thread	cd_coolant_port_thread_1	cd_coolant_port_thread_2	cd_te_dia_d	cd_te_dia_d_tol	cd_te_dia_e	cd_te_dia_e_tol	cd_te_dia_f	cd_te_dia_f_tol	cd_arm_angle	cd_quadrant	cd_oal	cd_oal_tol	cd_weight	cd_diagram_	cd_oil_inlet_flange_thread	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len
168	4-C-5877	0	7.058	NULL	6.246	NULL	NULL	NULL	3.700	NULL	NULL	NULL	NULL	NULL	19721	NULL	NULL	NULL	NULL	NULL	NULL	3.746	NULL	4.400	NULL	3.200	NULL	NULL	21065	4.145	NULL	NULL	NULL	NULL	NULL	NULL
169	4-D-1126	1	4.442	NULL	3.992	NULL	NULL	NULL	-99.000	NULL	NULL	NULL	NULL	NULL	19720	NULL	20909	20909	NULL	20975	NULL	2.238	NULL	3.030	NULL	0.718	NULL	NULL	21065	2.076	NULL	1194.3	NULL	NULL	NULL	NULL
170	4-D-2274	0	4.445	0.005	1.747	0.005	1.182	0.005	-99.000	-99.000	0.5142	0.5138	0.552	0.001	19721	0	20963	20411	20909	20411	20411	2.440	0.005	NULL	NULL	1.730	NULL	-99.0	21065	2.018	0.005	848.5	NULL	20411	30.0	0.050
171	4-D-2275	1	4.445	0.005	1.747	0.005	1.183	0.005	-99.000	-99.000	0.5142	0.5138	0.552	0.001	19720	0	20963	20411	20909	20975	20411	2.438	0.005	1.870	0.010	1.580	0.010	-99.0	21065	2.018	0.005	1130.7	NULL	20411	30.0	0.050
172	4-D-2430	0	4.445	0.005	1.747	0.005	1.182	0.005	-99.000	-99.000	0.5142	0.5138	0.552	0.001	19720	0	20963	20411	20909	20411	20411	2.440	0.005	1.730	0.010	NULL	NULL	-99.0	21065	2.018	0.005	838.5	NULL	20411	30.0	0.050
173	4-D-3336	1	4.445	0.005	1.747	0.005	1.182	0.005	-99.000	-99.000	0.5142	0.5138	0.552	0.001	19720	0	20963	20411	20909	20975	20411	2.438	0.005	1.870	0.010	1.580	0.010	-99.0	21065	2.018	0.005	1075.7	NULL	20411	30.0	0.050
174	4-D-3338	0	4.445	0.005	1.747	0.005	1.182	0.005	-99.000	-99.000	0.5142	0.5138	0.552	0.001	19721	0	20939	20411	20909	20411	20411	2.440	0.005	1.732	0.010	NULL	NULL	-99.0	21065	2.018	0.005	850.0	NULL	20411	30.0	0.050
175	4-D-3614	1	4.445	0.005	1.747	0.005	1.182	0.005	-99.000	-99.000	0.5142	0.5138	0.552	0.001	19720	0	20963	20411	20909	20975	20411	2.438	0.005	1.870	0.010	1.580	0.010	-99.0	21065	2.018	0.005	1076.2	NULL	20411	30.0	0.050
176	4-D-3819	0	4.250	0.005	4.093	0.005	-99.000	-99.000	1.850	0.005	0.3784	0.3780	0.394	0.001	19721	1	20939	20411	20909	20411	20411	1.967	0.005	1.450	0.005	0.550	0.005	-99.0	21065	2.155	0.005	986.2	NULL	20411	NULL	NULL
177	4-D-3961	0	3.343	0.005	3.090	0.005	1.340	0.005	1.852	0.005	0.3784	0.3780	0.394	0.001	19721	1	20939	20411	20909	20411	20411	3.730	0.005	3.343	0.005	1.627	0.005	20.0	21066	2.114	0.005	817.2	NULL	20411	20.0	0.040
