id	part	cd_installed_diameter_a	cd_gap_b_installed_diameter	cd_thickness_c	cd_thickness_c_tol	cd_width_d	cd_width_d_upper_tol	cd_width_d_lower_tol	cd_material	cd_type	cd_weight	cd_diagram_
177	8-H-1518	NULL	NULL	NULL	0.005	NULL	0.0000	0.0010	NULL	NULL	NULL	NULL
178	8-H-3705	1.001	0.018	0.043	0.005	0.1235	0.0000	0.0010	20328	20333	NULL	NULL
179	8-H-3706	1.277	0.012	0.055	0.005	0.1220	0.0000	0.0010	20328	20333	NULL	NULL
180	8-K-1003	0.614	0.005	0.035	0.005	0.0655	0.0000	0.0010	20329	20332	NULL	NULL
181	8-K-1233	0.500	0.006	0.033	0.005	0.0635	0.0000	0.0010	20329	20332	NULL	NULL
182	8-L-2248	0.965	0.004	0.049	0.005	0.0750	0.0000	0.0010	NULL	NULL	NULL	NULL
183	8-L-2249	0.710	0.004	0.038	0.005	0.0605	0.0000	0.0010	20328	20332	NULL	NULL
184	8-L-2256	1.181	0.004	0.059	0.005	0.1140	0.0000	0.0010	20329	20332	NULL	NULL
185	8-L-2265	1.045	0.004	0.052	0.005	0.0870	0.0000	0.0010	NULL	NULL	NULL	NULL
186	8-L-2266	0.790	0.004	0.038	0.005	0.0750	0.0000	0.0010	20329	20332	NULL	NULL
187	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
